equation,codex_id,rust_function,bib_keys,report_locator,notes
1,life_support.thinfilm.generic_compartment.derivative,brlss_backbone::generic_compartment_derivative,"poughon2021,garcia2021,montras2009",section 4,State-vector structure and scalar derivative helper for Eq. (2).
2,life_support.thinfilm.generic_compartment.derivative,brlss_backbone::generic_compartment_derivative,"poughon2021,garcia2021,montras2009",section 4,Mass-balanced compartment synthesis.
3,life_support.thinfilm.stoichiometry.element_balance_residual,brlss_backbone::element_balance_residual,vermeulen2023,section 4,Static elemental closure residual A xi.
4,life_support.thinfilm.stoichiometry.loop_balance_residual,brlss_backbone::loop_balance_residual,vermeulen2023,section 4,Commodity loop balance residual B xi + crew + stores.
5,life_support.thinfilm.control.dynamic_bounds_check,brlss_backbone::within_componentwise_bounds,,section 4,Componentwise control/domain bound check.
6,life_support.thinfilm.pbr.flat_two_flux_irradiance_ratio,melissa_photobioreactor::flat_two_flux_irradiance_ratio,poughon2021,section 5.2,Flat two-flux light-transfer ratio.
7,life_support.thinfilm.pbr.cylindrical_two_flux_irradiance_ratio,melissa_photobioreactor::cylindrical_two_flux_irradiance_ratio,poughon2021,section 5.2,Cylindrical two-flux ratio with internal Bessel-series evaluator.
8,life_support.thinfilm.pbr.geometric_correction,melissa_photobioreactor::geometric_correction,poughon2021,section 5.2,"Geometric correction min(1, L0/L)."
9,life_support.thinfilm.pbr.limnospira_biomass_rate,melissa_photobioreactor::limnospira_biomass_rate,poughon2021,section 5.3,Reduced biomass growth balance.
10,life_support.thinfilm.pbr.limnospira_tic_rate,melissa_photobioreactor::limnospira_tic_rate,poughon2021,section 5.3,Reduced total inorganic carbon balance.
11,life_support.thinfilm.pbr.limnospira_oxygen_rate,melissa_photobioreactor::limnospira_oxygen_rate,poughon2021,section 5.3,Reduced dissolved oxygen balance.
12,life_support.thinfilm.pbr.carbonate_species,melissa_photobioreactor::carbonate_species_from_total_and_ph,poughon2021,section 5.3,Total inorganic carbon closure over carbonate species.
13,life_support.thinfilm.pbr.carbonate_species,melissa_photobioreactor::carbonate_species_from_total_and_ph,poughon2021,section 5.3,TIC split using supplied pKa values.
14,life_support.thinfilm.pbr.eps_fraction,melissa_photobioreactor::eps_fraction_from_photon_requirement,poughon2021,section 5.3,EPS feasibility relation.
15,life_support.thinfilm.pbr.tank_series_rate,melissa_photobioreactor::tank_series_concentration_rate,poughon2021,section 5.4,Tank-in-series PBR concentration balance.
16,life_support.thinfilm.pbr.feasible_region,melissa_photobioreactor::pbr_operating_point_feasible,poughon2021,section 5.4,Boolean feasibility-map predicate.
17,life_support.thinfilm.c3.nitrification_aob_stoichiometry,nitrifying_biofilm::nitrification_fluxes,garcia2021,section 6.1,AOB stoichiometric flux contribution.
18,life_support.thinfilm.c3.nitrification_nob_stoichiometry,nitrifying_biofilm::nitrification_fluxes,garcia2021,section 6.1,NOB stoichiometric flux contribution.
