deferred_key,legacy_alias_status,name,slice,reason_deferred,next_gate,normal_execution,locked_id_status
slice_c.canonical.distance_to_canonical,TBD legacy-alias proof,Distance to canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.distance_from_canonical,TBD legacy-alias proof,Distance from canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.mass_to_canonical,TBD legacy-alias proof,Mass to canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.mass_from_canonical,TBD legacy-alias proof,Mass from canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.time_to_canonical,TBD legacy-alias proof,Time to canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.time_from_canonical,TBD legacy-alias proof,Time from canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.velocity_to_canonical,TBD legacy-alias proof,Velocity to canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.velocity_from_canonical,TBD legacy-alias proof,Velocity from canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.acceleration_to_canonical,TBD legacy-alias proof,Acceleration to canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_c.canonical.acceleration_from_canonical,TBD legacy-alias proof,Acceleration from canonical unit,C,Slice C waits for scalar canonical-unit schema support and exact legacy alias proof,post_slice_a_scalar_canonical_unit_schema_lock,no,not_a_locked_formula_id
slice_d.vector_array_family,TBD legacy-alias proof,Vector and array M00 candidates,D,Slice D waits for vector/array input support and exact legacy alias proof,post_slice_c_vector_array_schema_lock,no,not_a_locked_formula_id
