priority,m07_row_id_or_alias,rust_function_alias,scilab_function_alias_if_known,source_file_locator,formula_family,risk_tier,recommended_chunk_group,shortlist_reason,contract_review_needed,notes
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0006,app_to_due_distance,foa_app_ast_app_to_DUE_distance,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0007,app_from_due_distance,foa_app_ast_app_from_DUE_distance,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0008,app_to_due_velocity,foa_app_ast_app_to_DUE_velocity,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0009,app_from_due_velocity,foa_app_ast_app_from_DUE_velocity,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0010,app_to_tue_time,foa_app_ast_app_to_TUE_time,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P0_next_after_current_review,PORT_STATUS_RELEASE_GATE.csv:row_0011,app_from_tue_time,foa_app_ast_app_from_TUE_time,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/constants/ast_app_constants_conversions.sci",unit_conversion,low_risk_candidate,8C_remaining_M00_unit_conversion_contracts,remaining M00 or near-M00 unit conversion pattern with low frame/time dependency,yes_standard_formula_vault_contract_and_source_locator_review,Unit/constants conversion pattern.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0029,ch1_col,foa_ch01_ast_col,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0030,ch1_dot,foa_ch01_ast_dot,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0031,ch1_cross,foa_ch01_ast_cross,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
P1_after_helper_deduplication,PORT_STATUS_RELEASE_GATE.csv:row_0032,ch1_norm,foa_ch01_ast_norm,"Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/math/ast_ch1_vector.sci",low_risk_vector_math,low_risk_candidate,8D_helper_deduplication_then_low_risk_vector_contracts,common scalar/vector helper; promote only if deduplicated against existing M00 kernels and needed by a bounded family,yes_standard_formula_vault_contract_and_source_locator_review,Common vector helper; likely duplicate of existing central M00 vector kernels.
